POZO,XCOORD,YCOORD,Prof,Fecha,runlife,ciclo,Dpiston,Lon_Superficie,SPM,RGP,AYS,Elasticity,SP,Fillage,BBPD,BNPD
BN-0078,193,275,7186,1/5/19,347,5,2,45,5,680.7475598,6.112892075,0.767682175,34.54569787,0.453441271,80.56056744,4.924580543
BN-0049,234,114,7157,1/5/19,307,1,1.125,120,3,1197.128635,13.20908117,0.704708828,84.56505939,0.182637983,37.43827312,4.945251884
BN-0083,201,233,7191,1/5/19,70,4,2.5,74,4,1410.263621,16.97270093,0.780570056,57.76218416,0.434226248,168.3767668,28.57808507
BN-0007,111,155,7144,1/5/19,356,7,2.5,100,3,410.4363594,57.80000456,0.855511747,85.55117474,0.621192569,187.0362558,108.1069644
BN-0062,107,196,7170,1/5/19,82,7,2,120,7,666.2626129,40.36397879,0.799869109,95.9842931,0.692366861,313.3695201,126.4884066
BN-0033,297,198,7141,1/5/19,223,0,2.5,54,7,1197.863245,7.883558592,0.735529356,39.71858525,0.157444299,202.614433,15.97322754
BN-0016,288,239,7106,1/5/19,180,0,2.5,45,3,1216.184066,18.36141591,0.723753505,32.56890772,0.256044389,71.2037745,13.07402118
BN-0047,137,52,7155,1/5/19,264,3,1.125,54,3,458.6054167,54.67361142,0.836063753,45.14744264,0.631001672,19.98747829,10.92787621
BN-0093,202,145,7201,1/5/19,285,3,1.125,45,5,1241.115735,29.0461023,0.785416251,35.34373129,0.435741542,26.07870348,7.574846893
BN-0017,63,194,7166,1/6/19,282,0,1.5,45,5,448.8025952,41.42466979,0.822266657,37.00199954,0.694781093,48.5373729,20.10644645
BN-0045,258,199,7153,1/6/19,191,1,2,54,7,1199.332839,5.66477429,0.679405188,36.68788013,0.163425168,119.778591,6.785186829
BN-0056,236,99,7164,1/6/19,42,6,1.5,120,7,1067.070817,25.2974331,0.747251347,89.6701617,0.267716621,164.6747684,41.65848937
BN-0080,139,96,7188,1/6/19,216,3,1.5,120,5,543.0098437,53.22639384,0.844845256,101.3814307,0.607876772,132.9870918,70.78423322
BN-0025,98,121,7267,1/6/19,78,2,1.125,45,7,562.6150206,44.8818421,0.871949414,39.23772365,0.676475343,40.53269114,18.19181844
BN-0013,261,258,7303,1/6/19,206,0,1.125,54,5,1169.096473,24.2269727,0.796094194,42.98908647,0.388229478,31.71990047,7.684771629
BN-0012,60,114,7024,1/6/19,140,0,1.5,100,5,580.3036089,54.55905683,0.841941799,84.19417989,0.648914465,110.4417155,60.2559583
BN-0081,265,92,7189,1/6/19,136,4,2.5,74,5,759.1879784,28.37441126,0.836637514,61.91117601,0.493113213,225.5888476,64.00950738
BN-0050,158,119,7158,1/6/19,348,0,1.125,120,4,833.427872,22.67831308,0.758830632,91.05967589,0.349697397,53.75138843,12.18990816
BN-0037,285,190,7145,1/6/19,196,4,1.125,45,3,1349.64541,14.65109361,0.709820296,31.94191332,0.223474689,14.14118412,2.071838123
BN-0044,92,206,7152,1/6/19,281,3,2,100,3,325.6837947,43.61852453,0.899435056,89.94350563,0.932101732,125.8489531,54.89345647
BN-0076,251,239,7184,1/6/19,280,1,1.5,120,7,1097.837459,5.845913852,0.699198342,83.90380106,0.192842661,154.0851355,9.007684278
BN-0028,141,194,7270,1/6/19,38,2,2,120,5,1070.881924,40.60084913,0.81765586,98.11870324,0.408818675,228.812816,92.89994619
BN-0003,85,180,7356,1/7/19,220,3,1.5,74,4,547.7452845,41.74216636,0.850599347,62.94435169,0.662567475,66.05380267,27.5722882
BN-0097,87,113,7205,1/7/19,368,6,1.125,120,7,682.3870034,44.18974102,0.831676483,99.801178,0.619720205,103.0949288,45.55738202
BN-0060,128,58,7168,1/7/19,311,4,1.5,54,3,483.6691317,59.76700929,0.829751444,44.806578,0.616397594,35.26501722,21.07684612
BN-0009,158,256,7464,1/7/19,353,6,1.5,45,7,1214.098519,13.82161784,0.731963928,32.93837675,0.209227522,60.48968199,8.360652679
BN-0067,50,103,7175,1/7/19,366,0,2.5,45,5,193.95561,66.76441595,0.972215903,43.74971565,0.980934387,159.4130264,106.431176
BN-0057,211,233,7165,1/7/19,362,0,2,100,4,728.2456971,8.832417457,0.740746077,74.07460766,0.571329349,138.1935881,12.2058346
BN-0010,144,208,7285,1/7/19,7,0,2,45,7,1039.926753,44.0964412,0.846707776,38.10184993,0.501324864,124.3949197,54.85373261
BN-0048,170,298,7156,1/7/19,105,1,1.125,74,4,1068.613572,11.14842785,0.728707285,53.92433912,0.217069286,31.83086333,3.548640834
BN-0099,192,150,7207,1/7/19,324,6,1.125,100,7,1048.553872,19.05108147,0.787390812,78.73908117,0.276055841,81.33771691,15.49571472
BN-0018,118,140,7003,1/7/19,350,5,1.5,100,7,400.2336822,50.42215339,0.861362996,86.13629965,0.614564027,158.1850075,79.76028711
BN-0095,122,290,7203,1/7/19,283,5,2.5,45,5,752.4123433,44.51908654,0.828028264,37.26127186,0.655968433,135.7707593,60.44390185
BN-0051,214,195,7159,1/7/19,128,2,2,120,7,749.264496,9.630979227,0.772989724,92.75876683,0.484652096,302.838822,29.16634404
BN-0020,170,62,7437,1/7/19,218,4,2.5,100,7,1045.883065,20.88916983,0.78297564,78.29756404,0.298850642,399.4154485,83.43457139
BN-0075,220,89,7183,1/8/19,327,3,2,54,5,855.2140103,18.99576565,0.796980585,43.03695158,0.255300804,100.3621711,19.06456282
BN-0046,218,107,7154,1/8/19,39,2,2,54,5,826.672122,28.73824448,0.775414859,41.87240237,0.351534939,97.64644232,28.06187332
BN-0061,270,224,7169,1/8/19,16,5,2.5,74,5,949.2480935,9.633063287,0.718463149,53.16627305,0.173350662,193.7246074,18.66161404
BN-0071,69,85,7179,1/8/19,303,3,1.5,45,4,501.6617048,55.21657597,0.845858836,38.06364764,0.691711405,39.94399183,22.0557046
BN-0031,233,178,7139,1/8/19,299,3,2.5,74,3,786.0278255,18.25151996,0.797858898,59.04155844,0.65864711,129.0796071,23.55899027
BN-0090,125,293,7198,1/8/19,274,6,1.125,120,4,522.083095,41.40322057,0.798137626,95.77651516,0.622652273,56.53567969,23.40759217
BN-0094,202,181,7202,1/8/19,216,3,2.5,120,3,818.6679607,11.3986327,0.742741072,89.12892867,0.219928214,194.8581203,22.21116141
BN-0085,263,122,7193,1/8/19,270,4,2,100,4,693.6856026,26.53310898,0.844640245,84.46402453,0.60402286,157.5760842,41.80983414
BN-0053,60,198,7161,1/8/19,269,2,1.125,120,3,589.0335533,46.34598957,0.820234323,98.4281188,0.691890931,43.57566613,20.19557368
BN-0073,220,212,7181,1/8/19,301,7,2,100,3,682.4033104,16.65949761,0.83185188,83.18518802,0.526508085,116.3927151,19.39044158
BN-0091,142,233,7199,1/8/19,358,4,1.125,100,7,301.8848054,46.45580017,0.948376641,94.83766408,0.912200244,97.96760336,45.51163405
BN-0042,246,292,7150,1/8/19,348,3,2,74,3,866.6402207,16.68774622,0.726829198,53.78536066,0.377006541,75.25647663,12.55860983
BN-0026,257,181,7161,1/8/19,181,2,1.125,120,4,1230.710159,9.728010717,0.721270675,86.55248105,0.154709641,51.09084766,4.970123135
BN-0011,52,116,7041,1/9/19,363,3,2.5,100,7,499.0540931,59.16932536,0.823656692,82.3656692,0.605617115,420.16787,248.6104941
BN-0023,154,227,7148,1/9/19,147,2,2.5,100,7,1234.533234,7.428885561,0.704893632,70.48936318,0.168895389,359.5838639,26.71307374
BN-0029,283,169,7137,1/9/19,49,0,1.5,120,3,666.3447183,26.13466484,0.834162774,100.0995328,0.679709245,78.78333731,20.58976115
BN-0035,273,242,7143,1/9/19,222,2,1.125,45,3,908.0955816,16.74285647,0.749102287,33.70960291,0.277344998,14.92376792,2.498665042
BN-0039,248,257,7147,1/9/19,245,7,1.5,45,4,867.2169585,5.233422896,0.708140114,31.86630514,0.199590795,33.44050062,1.750082816
BN-0054,240,253,7162,1/9/19,369,0,1.125,54,3,769.1702215,5.313627448,0.762856701,41.19426184,0.363525017,18.23734338,0.969064484
BN-0072,109,172,7180,1/9/19,150,5,2.5,45,3,536.5922792,53.47652841,0.824351979,37.09583905,0.662017871,81.10077812,43.36988065
BN-0086,103,112,7194,1/9/19,118,0,1.5,100,3,548.264848,51.87451975,0.849744792,84.97447916,0.693092729,66.87916382,34.69324505
BN-0041,91,91,7149,1/10/19,25,5,2.5,120,4,563.37277,55.15374518,0.869710792,104.3652951,0.679812697,304.2248352,167.7913904
BN-0043,101,85,7151,1/10/19,126,5,1.125,74,3,578.0799355,55.25512281,0.872130674,64.53766987,0.691675072,28.57183485,15.78740244
BN-0054,240,253,7162,1/10/19,370,0,1.125,54,3,1077.319085,15.75961616,0.736553625,39.77389576,0.321406941,17.60852512,2.77503597
BN-0062,107,196,7170,1/10/19,87,7,2,120,7,618.5361405,41.13719098,0.838482125,100.6178551,0.650180971,328.4971732,135.1345095
BN-0050,158,119,7158,1/10/19,352,0,1.125,120,4,1108.376297,17.2375029,0.72475679,86.97081476,0.352881839,51.33778482,8.849352149
BN-0012,60,114,7024,1/10/19,144,0,1.5,100,5,366.1353673,58.76494856,0.940571336,94.05713356,0.952174056,123.379445,72.50386736
BN-0083,201,233,7191,1/10/19,75,4,2.5,74,4,838.4487489,17.76018444,0.764056342,56.5401693,0.311970172,164.8145935,29.27137579
BN-0008,275,214,7040,1/10/19,337,5,2,120,5,884.7290944,18.37253419,0.721377618,86.56531416,0.366395586,201.8703126,37.08869221
BN-0036,233,60,7144,1/10/19,236,6,1.5,100,5,765.1512622,15.16650746,0.826811425,82.6811425,0.593487609,108.4569887,16.44913728
BN-0018,118,140,7003,1/10/19,353,5,1.5,100,7,304.0947882,57.05546394,0.880739196,88.07391964,0.911963047,161.7433497,92.28341858
BN-0079,173,217,7187,1/10/19,324,1,2.5,45,4,666.7158789,18.12619908,0.814257022,36.641566,0.593722914,106.8101649,19.36062313
BN-0077,300,171,7185,1/10/19,341,3,1.5,120,4,1042.86507,10.97100164,0.740253293,88.83039516,0.178266528,93.21861668,10.22701597
BN-0057,211,233,7165,1/10/19,365,0,2,100,4,1415.491913,5.772609636,0.685676768,68.56767675,0.183545042,127.9198578,7.384314036
BN-0055,122,62,7163,1/11/19,186,6,1.125,100,5,572.0277527,54.78291557,0.841653824,84.16538243,0.616007273,62.10221648,34.02140482
BN-0046,218,107,7154,1/11/19,42,2,2,54,5,817.0457451,14.56720944,0.677993464,36.61164706,0.150695978,85.37836094,12.43724466
BN-0038,246,147,7146,1/11/19,24,2,2,100,7,781.0107176,24.3213874,0.78020552,78.02055204,0.733106731,254.7214983,61.95180239
BN-0068,110,259,7176,1/11/19,232,5,1.125,120,7,630.5004173,40.21280525,0.848996981,101.8796377,0.669740583,105.2419841,42.3207541
BN-0074,71,245,7182,1/11/19,99,1,1.125,45,7,482.7367743,41.91913082,0.849494759,38.22726414,0.683603057,39.48888331,16.55339665
BN-0073,220,212,7181,1/11/19,304,7,2,100,3,1334.754416,13.2986073,0.719215352,71.92153521,0.192284572,100.6326121,13.38273589
BN-0080,139,96,7188,1/11/19,221,3,1.5,120,5,577.6153603,57.30216812,0.853179055,102.3814866,0.674836498,134.298915,76.95619005
BN-0092,180,211,7200,1/11/19,112,4,2,100,4,722.4267431,5.78355141,0.769104607,76.91046074,0.469900824,143.4841556,8.298479903
BN-0091,142,233,7199,1/11/19,361,4,1.125,100,7,579.6964138,42.57840007,0.84226605,84.22660495,0.652572312,87.00634612,37.04591014
BN-0028,141,194,7270,1/11/19,43,2,2,120,5,1114.101308,43.55496602,0.800864054,96.10368643,0.432535064,224.1137967,97.61268801
BN-0045,258,199,7153,1/11/19,196,1,2,54,7,767.0071797,12.47320344,0.782458654,42.25276734,0.435872102,137.9468348,17.20638934
BN-0061,270,224,7169,1/11/19,19,5,2.5,74,5,755.4097171,16.62277128,0.76726597,56.7776818,0.723978614,206.883678,34.38980062
BN-0051,214,195,7159,1/11/19,132,2,2,120,7,976.1345888,8.110860077,0.742644897,89.11738762,0.162978425,290.9504471,23.59858366
BN-0004,60,285,7079,1/12/19,70,4,1.125,54,3,541.3962842,41.21411029,0.811573171,43.82495125,0.676127177,19.40199068,7.996357838
BN-0029,283,169,7137,1/12/19,52,0,1.5,120,3,1173.449139,25.52944189,0.788226388,94.58716661,0.275368515,74.44482948,19.00534948
BN-0085,263,122,7193,1/12/19,274,4,2,100,4,895.5621609,23.69710175,0.77692524,77.69252397,0.315565279,144.9431727,34.34733113
BN-0007,111,155,7144,1/12/19,363,7,2.5,100,3,285.1336115,56.34322725,0.906460725,90.64607246,0.960661849,198.1749759,111.658177
BN-0096,72,233,7204,1/12/19,357,0,2,54,4,806.1789647,43.18683494,0.834011865,45.03664069,0.332549155,84.02035688,36.28573284
BN-0011,52,116,7041,1/12/19,366,3,2.5,100,7,550.6958939,55.2992867,0.844678557,84.4678557,0.698863519,430.8916489,238.2800083
BN-0087,171,92,7195,1/12/19,202,3,1.125,74,7,863.9090702,23.9970117,0.746506196,55.24145848,0.283217129,57.06459924,13.69379856
BN-0069,58,136,7177,1/12/19,189,0,2.5,45,5,409.1500743,50.34920209,0.8278009,37.25104048,0.653729703,135.7334787,68.34072351
BN-0059,211,75,7167,1/12/19,34,0,1.125,54,5,838.100006,13.61862935,0.72132219,38.95139825,0.206766854,28.74065437,3.914083191
BN-0033,297,198,7141,1/12/19,230,0,2.5,54,7,1373.201191,10.83405988,0.677356316,36.57724106,0.219902508,186.589651,20.21523452
BN-0065,266,54,7173,1/12/19,280,4,1.125,100,3,1060.274456,10.95774327,0.723743768,72.37437677,0.166017731,32.04126745,3.510999828
BN-0001,102,108,7012,1/12/19,199,6,2.5,100,7,308.1684253,58.07984126,0.937836383,93.78363829,0.925029204,478.4137848,277.8619668
BN-0058,143,188,7166,1/12/19,11,1,2,100,4,522.3469613,48.99143378,0.842470626,84.24706255,0.606851916,157.1713199,77.00048311
BN-0078,193,275,7186,1/13/19,355,5,2,45,5,1346.394106,12.55758275,0.683884606,30.77480725,0.231153009,71.76685051,9.012181638
BN-0076,251,239,7184,1/13/19,287,1,1.5,120,7,622.8460584,18.86906442,0.816600676,97.99208109,0.651186709,179.9575573,33.95630741
BN-0049,234,114,7157,1/13/19,315,1,1.125,120,3,1130.679767,22.55309622,0.770056882,92.40682584,0.351441108,40.90994566,9.226459409
BN-0095,122,290,7203,1/13/19,289,5,2.5,45,5,683.5846931,41.45378614,0.798955427,35.95299419,0.618981113,131.0037226,54.306003
BN-0052,202,93,7160,1/13/19,178,2,2.5,100,4,937.6423388,19.72204291,0.77259811,77.25981098,0.42907542,225.212349,44.41647611
BN-0037,285,190,7145,1/13/19,203,4,1.125,45,3,1103.864605,16.6011662,0.776379023,34.93705604,0.258646353,15.4671806,2.567732358
BN-0093,202,145,7201,1/13/19,293,3,1.125,45,5,1141.718695,16.52475422,0.748733398,33.69300292,0.296385389,24.86069807,4.108169254
BN-0088,103,220,7196,1/13/19,294,4,1.5,100,3,524.8606302,46.19689703,0.837459001,83.74590007,0.696081654,65.91221065,30.44939608
BN-0056,236,99,7164,1/13/19,49,6,1.5,120,7,754.3554057,19.6155065,0.788015586,94.56187036,0.534465025,173.6581468,34.06392508
BN-0090,125,293,7198,1/13/19,279,6,1.125,120,4,360.2379466,42.2907452,0.935670443,112.2804532,0.903477062,66.277748,28.02935353
BN-0009,158,256,7464,1/13/19,359,6,1.5,45,7,1300.402329,15.92184689,0.787661335,35.44476006,0.280087358,65.09252962,10.3639329
BN-0072,109,172,7180,1/13/19,154,5,2.5,45,3,442.9762599,51.09204592,0.86168225,38.77570124,0.649063267,84.77337683,43.31245262
BN-0081,265,92,7189,1/13/19,143,4,2.5,74,5,680.3523031,17.63275619,0.841355122,62.260279,0.655115142,226.8608916,40.00182791
BN-0025,98,121,7267,1/14/19,86,2,1.125,45,7,536.2757662,41.3817936,0.816528602,36.74378708,0.613309974,37.95644688,15.70705851
BN-0098,152,97,7206,1/14/19,317,2,2.5,100,7,1277.960242,22.86892683,0.753004994,75.30049945,0.328389266,384.1266728,87.84564774
BN-0019,127,266,7122,1/14/19,117,0,1.125,45,4,576.943624,44.52579262,0.794673224,35.76029507,0.662677454,21.10885517,9.39888508
BN-0053,60,198,7161,1/14/19,275,2,1.125,120,3,597.5605316,41.05499121,0.841575402,100.9890482,0.64512495,44.70942959,18.35545239
BN-0070,168,280,7178,1/14/19,49,3,2,74,7,630.6953423,13.93905062,0.792333258,58.63266106,0.385072114,191.4239118,26.68267597
BN-0039,248,257,7147,1/14/19,250,7,1.5,45,4,624.4955132,16.45242609,0.777250376,34.97626694,0.605365876,36.70409452,6.038714023
BN-0082,218,199,7190,1/14/19,62,5,1.125,74,4,1341.206621,5.605223279,0.708955166,52.46268225,0.240531277,30.96806555,1.735829219
BN-0042,246,292,7150,1/14/19,354,3,2,74,3,886.9699397,16.9428283,0.759502149,56.20315904,0.366405436,78.63946013,13.3237487
BN-0017,63,194,7166,1/14/19,290,0,1.5,45,5,318.4696919,48.89886573,0.94890135,42.70056077,0.960700852,56.01246059,27.3894579
BN-0005,258,57,7415,1/14/19,243,3,1.125,54,3,1388.127174,17.11291704,0.752430306,40.63123653,0.40062918,17.98808327,3.078285768
BN-0016,288,239,7106,1/14/19,189,0,2.5,45,3,996.2631031,8.658423813,0.73816737,33.21753163,0.239502881,72.62182853,6.287905695
BN-0003,85,180,7356,1/14/19,227,3,1.5,74,4,512.4222399,42.65375172,0.856671982,63.39372664,0.627491708,66.52537674,28.37556902
BN-0084,298,121,7192,1/14/19,331,3,2.5,120,4,661.3222731,16.21326066,0.842274382,101.0729258,0.511950254,294.6275788,47.76873733
BN-0064,160,187,7172,1/15/19,194,0,2.5,54,7,1110.353866,5.196252046,0.748934171,40.44244524,0.200174691,206.3070238,10.72023295
BN-0094,202,181,7202,1/15/19,223,3,2.5,120,3,946.4678397,17.30490344,0.770378626,92.44543512,0.312590608,202.1088325,34.97473832
BN-0032,201,66,7140,1/15/19,211,6,1.5,74,5,955.3536681,18.78215442,0.730096072,54.02710929,0.385977326,70.87006062,13.31092422
BN-0031,233,178,7139,1/15/19,306,3,2.5,74,3,764.3043914,11.15556531,0.721606836,53.39890585,0.310751459,116.7433579,13.02338153
BN-0066,137,176,7174,1/15/19,46,7,1.5,45,7,497.4273781,52.22995668,0.873760633,39.31922848,0.660369804,72.20779715,37.71410117
BN-0021,268,253,7225,1/15/19,69,6,1.5,74,7,1487.324659,17.85115115,0.7643964,56.56533358,0.302641839,103.8794069,18.54366993
BN-0034,179,120,7142,1/15/19,57,3,2,54,4,957.6212281,11.90127212,0.733589763,39.61384718,0.211529892,73.9035933,8.795467748
BN-0047,137,52,7155,1/15/19,274,3,1.125,54,3,289.4901405,58.40436301,0.911893464,49.24224703,0.949078249,21.80031217,12.73233346
BN-0060,128,58,7168,1/15/19,319,4,1.5,54,3,422.9245619,57.93202247,0.831552229,44.90382036,0.633237687,35.34155181,20.47407574
BN-0086,103,112,7194,1/15/19,124,0,1.5,100,3,312.2567859,50.08281273,0.91100857,91.10085695,0.935603678,71.70092947,35.90984223
BN-0002,225,245,7072,1/15/19,139,2,1.5,100,4,884.9954554,11.58232967,0.709605265,70.96052648,0.163436136,74.46597649,8.624894886
BN-0014,224,279,7212,1/15/19,377,3,1.5,74,7,1221.771342,14.90365878,0.72778407,53.85602115,0.222000273,98.90389004,14.74029829
BN-0020,170,62,7437,1/15/19,226,4,2.5,100,7,1303.486198,22.57048872,0.744557393,74.45573934,0.3297667,379.8173403,85.72662994
BN-0024,292,51,7221,1/16/19,262,7,2,45,7,1081.865513,19.55339745,0.73487195,33.06923774,0.318402301,107.9644474,21.1107175
BN-0040,160,129,7148,1/16/19,53,5,2,100,4,1038.241714,11.73143216,0.691788663,69.17886631,0.206698706,129.060093,15.14059725
BN-0013,261,258,7303,1/16/19,216,0,1.125,54,5,998.8576441,22.00736065,0.743827413,40.16668028,0.356116422,29.63736161,6.522401057
BN-0071,69,85,7179,1/16/19,311,3,1.5,45,4,553.3309783,51.080091,0.839375144,37.77188147,0.638556848,39.63781242,20.24703066
BN-0048,170,298,7156,1/16/19,114,1,1.125,74,4,578.1597821,17.00808679,0.797112209,58.98630349,0.589632907,34.81887762,5.922024925
BN-0015,141,72,7321,1/16/19,376,3,1.5,74,5,598.273546,41.87594697,0.832526145,61.60693473,0.635986721,80.81289664,33.84116574
BN-0089,109,103,7197,1/16/19,220,3,2.5,100,5,465.8189695,50.9712024,0.878642561,87.86425614,0.692814376,320.1553833,163.1870484
BN-0063,203,293,7171,1/16/19,264,4,2,54,4,880.286687,16.09365908,0.761131905,41.10112285,0.259880912,76.67825478,12.34033692
BN-0075,220,89,7183,1/16/19,335,3,2,54,5,797.5526485,16.94001427,0.807062268,43.58136249,0.412002306,101.6317373,17.21643081
BN-0099,192,150,7207,1/16/19,333,6,1.125,100,7,1070.404302,26.48361649,0.797727686,79.77276856,0.405833376,82.40551921,21.82396167
BN-0010,144,208,7285,1/16/19,16,0,2,45,7,1040.272157,40.32024454,0.845755098,38.05897941,0.276899698,124.254956,50.09990209
BN-0006,65,233,7281,1/16/19,337,2,2,74,3,632.6900935,42.78774987,0.830921908,61.4882212,0.698935112,86.03431911,36.81214927
BN-0027,205,293,7221,1/16/19,175,0,1.5,100,5,1365.622537,20.06648703,0.764376634,76.43766339,0.443143566,100.267105,20.12008561
BN-0022,102,139,7325,1/17/19,25,5,1.125,120,3,684.273041,44.06512864,0.873369929,104.8043915,0.64291013,46.39854169,20.44557708
